batch,run_id,run_at,protocol,code,build_id,slice,hypothesis,n_raw,n_declustered,hit_rate,base_rate,edge,expectancy,p,survived,gross,net_expectancy
structural_1,structural_1:discover-2026-09-25T04:48:07+00:00,2026-09-25T04:48:07+00:00,1ff6d6de2472c886,2c2a2755dfb063bf,5,discover,k5:three_white_soldiers+ma_50_rising+stage_4_declining,2,2,0.5,0.4896329154091808,0.010367084590819198,-0.048167213337756865,1.0,False,-0.048167213337756865,-0.05196884204135044
structural_1,structural_1:discover-2026-09-25T04:48:07+00:00,2026-09-25T04:48:07+00:00,1ff6d6de2472c886,2c2a2755dfb063bf,5,discover,k5:three_white_soldiers+market_up+stage_4_declining,7,6,0.6666666666666666,0.49007212847033205,0.17659453819633458,-0.004256674233260445,1.0,False,-0.004256674233260445,-0.00823368202464031
structural_1,structural_1:discover-2026-09-25T04:48:07+00:00,2026-09-25T04:48:07+00:00,1ff6d6de2472c886,2c2a2755dfb063bf,5,discover,k5:three_white_soldiers+rvol_high+stage_4_declining,6,6,0.6666666666666666,0.4896329154091808,0.17703375125748583,-0.011564970576741293,1.0,False,-0.011564970576741293,-0.015512788966849175
structural_1,structural_1:discover-2026-09-25T04:48:07+00:00,2026-09-25T04:48:07+00:00,1ff6d6de2472c886,2c2a2755dfb063bf,5,discover,k5:three_white_soldiers+stage_4_declining+volume_dry,1,1,0.0,0.4896329154091808,-0.4896329154091808,-0.016769864586033134,1.0,False,-0.016769864586033134,-0.02069689458269397
structural_1,structural_1:discover-2026-09-25T04:48:07+00:00,2026-09-25T04:48:07+00:00,1ff6d6de2472c886,2c2a2755dfb063bf,5,discover,k5:three_black_crows+resists_down_days,278,240,0.48333333333333334,0.48049869626992675,0.0028346370634065865,-9.064297099286439e-05,0.9645177411294353,False,-9.064297099286439e-05,-0.00408428992867237
structural_1,structural_1:discover-2026-09-25T04:48:07+00:00,2026-09-25T04:48:07+00:00,1ff6d6de2472c886,2c2a2755dfb063bf,5,discover,k5:three_black_crows+above_ma_50+resists_down_days,105,96,0.5625,0.48133672320671905,0.08116327679328095,0.007436265130020444,0.14392803598200898,False,0.007436265130020444,0.00341255563374478
structural_1,structural_1:discover-2026-09-25T04:48:07+00:00,2026-09-25T04:48:07+00:00,1ff6d6de2472c886,2c2a2755dfb063bf,5,discover,k5:three_black_crows+at_resistance+resists_down_days,90,82,0.4878048780487805,0.4819257620731713,0.005879115975609195,0.002681118961415841,0.9075462268865567,False,0.002681118961415841,-0.0013235984383302099
structural_1,structural_1:discover-2026-09-25T04:48:07+00:00,2026-09-25T04:48:07+00:00,1ff6d6de2472c886,2c2a2755dfb063bf,5,discover,k5:three_black_crows+at_support+resists_down_days,111,97,0.4742268041237113,0.4819257620731713,-0.007698957949459961,-0.000282487952302021,0.8865567216391804,False,-0.000282487952302021,-0.004275368679402168
structural_1,structural_1:discover-2026-09-25T04:48:07+00:00,2026-09-25T04:48:07+00:00,1ff6d6de2472c886,2c2a2755dfb063bf,5,discover,k5:three_black_crows+breadth_positive+resists_down_days,106,100,0.49,0.4794316415217444,0.010568358478255602,0.002763290189220795,0.8365817091454273,False,0.002763290189220795,-0.0012417554031475364
structural_1,structural_1:discover-2026-09-25T04:48:07+00:00,2026-09-25T04:48:07+00:00,1ff6d6de2472c886,2c2a2755dfb063bf,5,discover,k5:three_black_crows+ma_50_rising+resists_down_days,143,124,0.5080645161290323,0.4825034758428919,0.02556104028614037,-2.8205380414270656e-05,0.5637181409295352,False,-2.8205380414270656e-05,-0.004022101714391648
structural_1,structural_1:discover-2026-09-25T04:48:07+00:00,2026-09-25T04:48:07+00:00,1ff6d6de2472c886,2c2a2755dfb063bf,5,discover,k5:three_black_crows+market_up+resists_down_days,166,150,0.5,0.47965688929544353,0.020343110704556466,0.002680732298168294,0.6446776611694153,False,0.002680732298168294,-0.001323983557241264
structural_1,structural_1:discover-2026-09-25T04:48:07+00:00,2026-09-25T04:48:07+00:00,1ff6d6de2472c886,2c2a2755dfb063bf,5,discover,k5:three_black_crows+resists_down_days+rvol_high,46,41,0.6097560975609756,0.48049869626992675,0.12925740129104885,0.010340090931140774,0.079960019990005,False,0.010340090931140774,0.006304783528520147
structural_1,structural_1:discover-2026-09-25T04:48:07+00:00,2026-09-25T04:48:07+00:00,1ff6d6de2472c886,2c2a2755dfb063bf,5,discover,k5:three_black_crows+resists_down_days+volume_dry,37,31,0.41935483870967744,0.4806676004284319,-0.06131276171875444,-0.003928317300573138,0.4987506246876562,False,-0.003928317300573138,-0.007906636552492964
structural_1,structural_1:discover-2026-09-25T04:48:07+00:00,2026-09-25T04:48:07+00:00,1ff6d6de2472c886,2c2a2755dfb063bf,5,discover,k5:three_black_crows+rs_120_strong,239,203,0.541871921182266,0.48656078035171213,0.055311140830553884,0.0013626034803405126,0.17891054472763618,False,0.0013626034803405126,-0.002636847756725259
structural_1,structural_1:discover-2026-09-25T04:48:07+00:00,2026-09-25T04:48:07+00:00,1ff6d6de2472c886,2c2a2755dfb063bf,5,discover,k5:three_black_crows+above_ma_50+rs_120_strong,103,90,0.6,0.48656078035171213,0.11343921964828785,0.007867914602601566,0.04697651174412794,False,0.007867914602601566,0.003842481094453371
structural_1,structural_1:discover-2026-09-25T04:48:07+00:00,2026-09-25T04:48:07+00:00,1ff6d6de2472c886,2c2a2755dfb063bf,5,discover,k5:three_black_crows+at_resistance+rs_120_strong,64,61,0.5081967213114754,0.48656078035171213,0.02163594095976329,8.424833596146891e-05,0.6546726636681659,False,8.424833596146891e-05,-0.0039100971391697005
structural_1,structural_1:discover-2026-09-25T04:48:07+00:00,2026-09-25T04:48:07+00:00,1ff6d6de2472c886,2c2a2755dfb063bf,5,discover,k5:three_black_crows+at_support+rs_120_strong,84,75,0.4666666666666667,0.48656078035171213,-0.019894113685045456,-0.0010408883597063964,0.7456271864067966,False,-0.0010408883597063964,-0.005030740028764002
structural_1,structural_1:discover-2026-09-25T04:48:07+00:00,2026-09-25T04:48:07+00:00,1ff6d6de2472c886,2c2a2755dfb063bf,5,discover,k5:three_black_crows+breadth_positive+rs_120_strong,91,83,0.4939759036144578,0.4856133104821111,0.008362593132346718,-0.0017063382185559532,0.9065467266366817,False,-0.0017063382185559532,-0.005693532074897238
structural_1,structural_1:discover-2026-09-25T04:48:07+00:00,2026-09-25T04:48:07+00:00,1ff6d6de2472c886,2c2a2755dfb063bf,5,discover,k5:three_black_crows+ma_50_rising+rs_120_strong,172,147,0.5374149659863946,0.48656078035171213,0.05085418563468247,0.00019931447389446745,0.24687656171914044,False,0.00019931447389446745,-0.0037954905764256406
structural_1,structural_1:discover-2026-09-25T04:48:07+00:00,2026-09-25T04:48:07+00:00,1ff6d6de2472c886,2c2a2755dfb063bf,5,discover,k5:three_black_crows+market_up+rs_120_strong,138,117,0.49572649572649574,0.4868647239501329,0.008861771776362826,-0.001171442543996136,0.8765617191404298,False,-0.001171442543996136,-0.005160772778468457
structural_1,structural_1:discover-2026-09-25T04:48:07+00:00,2026-09-25T04:48:07+00:00,1ff6d6de2472c886,2c2a2755dfb063bf,5,discover,k5:three_black_crows+rs_120_strong+rvol_high,35,32,0.5,0.48656078035171213,0.01343921964828787,-0.0030873317118992154,0.8595702148925537,False,-0.0030873317118992154,-0.007069009867817739
structural_1,structural_1:discover-2026-09-25T04:48:07+00:00,2026-09-25T04:48:07+00:00,1ff6d6de2472c886,2c2a2755dfb063bf,5,discover,k5:three_black_crows+rs_120_strong+volume_dry,30,27,0.5555555555555556,0.48656078035171213,0.06899477520384345,0.014633239761748216,1.0,False,0.014633239761748216,0.010580785484117648
structural_1,structural_1:discover-2026-09-25T04:48:07+00:00,2026-09-25T04:48:07+00:00,1ff6d6de2472c886,2c2a2755dfb063bf,5,discover,k5:three_black_crows+rs_20_strong,192,167,0.5209580838323353,0.4803384073761021,0.04061967645623321,-0.0003570143382179508,0.34182908545727136,False,-0.0003570143382179508,-0.004349597406263019
structural_1,structural_1:discover-2026-09-25T04:48:07+00:00,2026-09-25T04:48:07+00:00,1ff6d6de2472c886,2c2a2755dfb063bf,5,discover,k5:three_black_crows+above_ma_50+rs_20_strong,115,101,0.5742574257425742,0.48114281886387994,0.09311460687869427,0.005348078068210562,0.0879560219890055,False,0.005348078068210562,0.001332708809825298
