complements_1:validate-2026-09-24T14:46:54+00:00 | BATCH complements_1 (hash e29e367cba78c47f) | validate ('2020-01-01', '2023-12-31') | purged before 2024-01-01 | batch N = 3864 (hypotheses ever tested: 5418)
CANDIDATE GENERATION, NOT CONFIRMATION: these slices were already looked at by the registered run; a survivor is at best a paper-trading candidate
hit = GROSS return > 0 (fee out of scope); net at the provisional cost is information only | NET PROVISIONAL; liquid on t; two-sided; date-block bootstrap (10 sessions x 2000)
  [N=3864] k3:tight_range+at_resistance+not_rvol_high: 3251 de-cl. (n 6740) hit 54.3% vs base 50.8% edge +3.5% gross +0.64% (net +0.24% info) p 0.0210 | discover +4.7% -> HELD | walk-forward 12/12 years positive
  [N=3864] k5:tight_range+above_ma_50+not_rvol_high: 2794 de-cl. (n 7138) hit 54.9% vs base 51.4% edge +3.5% gross +1.23% (net +0.82% info) p 0.0620 | discover +5.5% -> HELD | walk-forward 11/12 years positive
  [N=3864] k3:tight_range+at_resistance+not_above_ma_50: 1751 de-cl. (n 3492) hit 54.3% vs base 50.8% edge +3.5% gross +0.49% (net +0.09% info) p 0.1019 | discover +3.8% -> HELD | walk-forward 10/12 years positive
  [N=3864] k5:higher_lows+breadth_positive+not_volume_dry: 1156 de-cl. (n 1454) hit 55.6% vs base 52.2% edge +3.5% gross +1.17% (net +0.76% info) p 0.1409 | discover +7.4% -> HELD | walk-forward 11/12 years positive
  [N=3864] k3:higher_lows+breadth_positive+not_at_support: 815 de-cl. (n 977) hit 54.7% vs base 51.3% edge +3.4% gross +0.94% (net +0.53% info) p 0.1939 | discover +8.2% -> HELD | walk-forward 9/12 years positive
  [N=3864] k3:higher_lows+above_ma_50+not_rvol_high: 1243 de-cl. (n 1538) hit 54.1% vs base 50.7% edge +3.4% gross +0.73% (net +0.32% info) p 0.1000 | discover +5.8% -> HELD | walk-forward 10/12 years positive
  [N=3864] k5:tight_range+ma_50_rising+not_rvol_high: 3113 de-cl. (n 8811) hit 54.8% vs base 51.5% edge +3.4% gross +1.17% (net +0.76% info) p 0.0680 | discover +4.3% -> HELD | walk-forward 11/12 years positive
  [N=3864] k3:tight_range+breadth_positive+not_rvol_high: 5371 de-cl. (n 12451) hit 54.5% vs base 51.1% edge +3.4% gross +0.73% (net +0.33% info) p 0.1269 | discover +4.9% -> HELD | walk-forward 10/12 years positive
  [N=3864] k3:inside_day_run+above_ma_50+not_volume_dry: 2139 de-cl. (n 2364) hit 54.0% vs base 50.7% edge +3.4% gross +1.04% (net +0.64% info) p 0.0230 | discover +3.8% -> HELD | walk-forward 10/12 years positive
  [N=3864] k5:marubozu_red+ma_50_rising+not_at_support: 4287 de-cl. (n 5291) hit 54.8% vs base 51.5% edge +3.3% gross +1.05% (net +0.64% info) p 0.0240 | discover +3.3% -> HELD | walk-forward 10/12 years positive
  [N=3864] k3:higher_lows+ma_50_rising+not_rvol_high: 1240 de-cl. (n 1525) hit 54.1% vs base 50.8% edge +3.3% gross +0.65% (net +0.25% info) p 0.0980 | discover +6.0% -> HELD | walk-forward 10/12 years positive
  [N=3864] k3:tight_range+above_ma_50+not_volume_dry: 2725 de-cl. (n 5585) hit 53.9% vs base 50.7% edge +3.3% gross +0.80% (net +0.40% info) p 0.0350 | discover +4.9% -> HELD | walk-forward 11/12 years positive
  [N=3864] k5:inside_day_run+above_ma_50+not_rvol_high: 2253 de-cl. (n 2611) hit 54.6% vs base 51.4% edge +3.2% gross +1.42% (net +1.01% info) p 0.0400 | discover +3.2% -> HELD | walk-forward 10/12 years positive
  [N=3864] k5:higher_lows+at_resistance+not_rvol_high: 970 de-cl. (n 1235) hit 54.6% vs base 51.5% edge +3.2% gross +0.76% (net +0.36% info) p 0.1069 | discover +6.2% -> HELD | walk-forward 11/12 years positive
