structural_1:validate-2026-09-25T04:52:03+00:00 | BATCH structural_1 (hash 1ff6d6de2472c886) | validate ('2020-01-01', '2023-12-31') | purged before 2024-01-01 | batch N = 3024 (hypotheses ever tested: 4578)
CANDIDATE GENERATION, NOT CONFIRMATION: these slices were already looked at by the registered run; a survivor is at best a paper-trading candidate
hit = GROSS return > 0 (fee out of scope); net at the provisional cost is information only | NET PROVISIONAL; liquid on t; two-sided; date-block bootstrap (10 sessions x 2000)
run here: 295 | testable (>= 30 de-clustered): 295 | suspicious: 0
discover survivors run: 295 | HELD (same sign, gross exp > 0): 260 | PAPER-TRADING CANDIDATES (held, edge > 0): 236
  [N=3024] k3:breakout+rs_20_strong+volume_dry: 98 de-cl. (n 130) hit 55.1% vs base 50.6% edge +4.5% gross +2.14% (net +1.73% info) p 0.3748 | discover +13.1% -> HELD | walk-forward 8/12 years positive
  [N=3024] k3:three_inside_down+ma_50_rising+rs_20_strong: 387 de-cl. (n 392) hit 55.3% vs base 50.8% edge +4.5% gross +0.34% (net -0.06% info) p 0.0810 | discover +7.6% -> HELD | walk-forward 10/12 years positive
  [N=3024] k3:tight_range+at_support+rs_60_strong: 1782 de-cl. (n 3769) hit 55.3% vs base 50.8% edge +4.5% gross +0.71% (net +0.31% info) p 0.0110 | discover +5.1% -> HELD | walk-forward 10/12 years positive
  [N=3024] k5:inverted_hammer_shape+stage_3_topping: 1379 de-cl. (n 1729) hit 55.5% vs base 51.1% edge +4.5% gross +0.79% (net +0.38% info) p 0.0930 | discover +4.9% -> HELD | walk-forward 11/12 years positive
  [N=3024] k5:tight_range+at_support+stage_2_advancing: 438 de-cl. (n 898) hit 55.5% vs base 51.1% edge +4.4% gross +1.09% (net +0.68% info) p 0.1579 | discover +8.5% -> HELD | walk-forward 9/12 years positive
  [N=3024] k3:tight_range+rs_60_strong+volume_dry: 1468 de-cl. (n 2897) hit 55.2% vs base 50.8% edge +4.4% gross +0.65% (net +0.25% info) p 0.0340 | discover +4.8% -> HELD | walk-forward 9/12 years positive
  [N=3024] k5:tight_range+ma_50_rising+stage_2_advancing: 929 de-cl. (n 2453) hit 55.4% vs base 51.1% edge +4.4% gross +1.52% (net +1.11% info) p 0.0900 | discover +6.7% -> HELD | walk-forward 11/12 years positive
  [N=3024] k3:tight_range+stage_2_advancing: 1230 de-cl. (n 2797) hit 55.0% vs base 50.6% edge +4.4% gross +0.83% (net +0.42% info) p 0.0760 | discover +5.8% -> HELD | walk-forward 12/12 years positive
  [N=3024] k3:tight_range+above_ma_50+stage_2_advancing: 1230 de-cl. (n 2797) hit 55.0% vs base 50.6% edge +4.4% gross +0.83% (net +0.42% info) p 0.0760 | discover +5.8% -> HELD | walk-forward 12/12 years positive
  [N=3024] k3:three_inside_down+above_ma_50+rs_20_strong: 427 de-cl. (n 431) hit 55.0% vs base 50.7% edge +4.3% gross +0.39% (net -0.01% info) p 0.0650 | discover +6.9% -> HELD | walk-forward 9/12 years positive
  [N=3024] k5:tight_range+above_ma_50+rs_120_strong: 1615 de-cl. (n 4246) hit 55.7% vs base 51.4% edge +4.3% gross +1.17% (net +0.76% info) p 0.0490 | discover +5.4% -> HELD | walk-forward 10/12 years positive
  [N=3024] k3:higher_lows+market_up+rs_20_strong: 789 de-cl. (n 931) hit 54.9% vs base 50.6% edge +4.3% gross +0.97% (net +0.57% info) p 0.1149 | discover +6.4% -> HELD | walk-forward 9/12 years positive
  [N=3024] k3:marubozu_red+rs_60_strong: 5466 de-cl. (n 6401) hit 55.1% vs base 50.8% edge +4.3% gross +0.76% (net +0.36% info) p 0.0010 | discover +4.3% -> HELD | walk-forward 12/12 years positive
  [N=3024] k5:tight_range+at_resistance+rs_60_strong: 1615 de-cl. (n 3690) hit 55.7% vs base 51.5% edge +4.3% gross +0.95% (net +0.55% info) p 0.0560 | discover +6.2% -> HELD | walk-forward 11/12 years positive
  [N=3024] k5:higher_lows+at_resistance+resists_down_days: 740 de-cl. (n 958) hit 55.7% vs base 51.5% edge +4.2% gross +1.00% (net +0.60% info) p 0.0440 | discover +5.9% -> HELD | walk-forward 10/12 years positive
  [N=3024] k3:tight_range+at_support+rs_20_strong: 1106 de-cl. (n 1947) hit 55.0% vs base 50.8% edge +4.2% gross +0.75% (net +0.34% info) p 0.1189 | discover +4.5% -> HELD | walk-forward 10/12 years positive
  [N=3024] k3:marubozu_red+rs_20_strong+rvol_high: 992 de-cl. (n 1030) hit 54.7% vs base 50.6% edge +4.2% gross +1.23% (net +0.82% info) p 0.1439 | discover +6.3% -> HELD | walk-forward 11/12 years positive
  [N=3024] k5:tight_range+at_resistance+stage_2_advancing: 587 de-cl. (n 1310) hit 55.2% vs base 51.1% edge +4.1% gross +1.07% (net +0.67% info) p 0.2229 | discover +10.1% -> HELD | walk-forward 10/12 years positive
  [N=3024] k3:inside_day_run+rs_120_strong: 2199 de-cl. (n 2465) hit 55.0% vs base 50.8% edge +4.1% gross +0.88% (net +0.47% info) p 0.0080 | discover +3.1% -> HELD | walk-forward 8/12 years positive
  [N=3024] k5:tight_range+at_support+rs_60_strong: 1545 de-cl. (n 3720) hit 55.6% vs base 51.5% edge +4.1% gross +0.99% (net +0.58% info) p 0.0370 | discover +5.4% -> HELD | walk-forward 10/12 years positive
  [N=3024] k3:higher_lows+ma_50_rising+resists_down_days: 847 de-cl. (n 1049) hit 54.9% vs base 50.8% edge +4.1% gross +0.73% (net +0.33% info) p 0.0720 | discover +7.7% -> HELD | walk-forward 10/12 years positive
  [N=3024] k3:tight_range+rs_60_strong: 3807 de-cl. (n 9157) hit 54.9% vs base 50.8% edge +4.1% gross +0.74% (net +0.33% info) p 0.0080 | discover +5.3% -> HELD | walk-forward 11/12 years positive
  [N=3024] k3:marubozu_red+ma_50_rising+stage_2_advancing: 1620 de-cl. (n 1823) hit 54.7% vs base 50.6% edge +4.1% gross +0.96% (net +0.55% info) p 0.0910 | discover +5.1% -> HELD | walk-forward 11/12 years positive
